main_b3,n,mean_break_even_share_pct,median_break_even_share_pct,p05_break_even_share_pct,p95_break_even_share_pct
cinderella,3840,29.57700911157853,29.156556928074355,16.15368767250576,45.218789917126706
cinderella-crystal-wave,3840,36.05742899725501,35.40291736529177,20.99924370980835,52.0225104573945
liberalio,3840,80.95061039327814,82.12473527422685,61.079890632629116,93.38471887308262
neon-vision-eye,3776,88.64721682253585,90.36259074765769,73.6169036546764,98.72786706475921
phantom,3153,77.90140477627305,80.30220374833613,52.239490417785134,96.70429913667913
rapi-red-hood,3072,49.48681750968447,50.74888215814748,29.49364316783414,67.82175776162705
raven,3392,92.3248659434242,93.975074921577,80.43137247372287,99.15805870987568
scarlet-black-shadow,3520,79.86713580266402,79.48818866203841,67.10966385785386,93.22020448960585
