axis,value,n,conventional_pct,tie_pct,funnel_pct,mean_delta_pct,median_delta_pct,mean_main_share_pct,mean_secondary_share_pct,mean_main_g_pct,mean_l_pct
main,cinderella,3840,0.6510416666666666,2.1354166666666665,97.21354166666669,1.2922252503802385,1.081442455143644,50.273575321147554,21.94624258528019,4.619350881668683,2.025213672918841
main,cinderella-crystal-wave,3840,8.411458333333334,8.723958333333334,82.86458333333333,0.8676952370483468,0.7485857842018384,53.819078633754245,20.317302815620348,3.390181407170882,2.018182813812558
main,liberalio,3840,93.69791666666669,4.765625,1.5364583333333333,-1.0494113530530798,-1.0064638973276474,42.03291748968825,26.66084172423666,0.4638225517051248,2.1155154774512064
main,neon-vision-eye,3840,96.04166666666669,2.7604166666666665,1.1979166666666667,-0.9713908598491904,-0.9535181960258544,47.59288450601093,23.08544111443411,0.214652741432304,2.0364684818091936
main,phantom,3840,92.86458333333331,4.166666666666667,2.96875,-1.165253758342614,-1.1770496861265467,37.28169065372499,30.393260098383237,0.4719190149479624,2.110452910449262
main,rapi-red-hood,3072,62.79296875,6.315104166666667,30.89192708333333,-0.2966965664660607,-0.338370984920433,44.57906263735922,24.812756304144923,1.99325247489627,2.0752558645259773
main,raven,3840,98.671875,1.328125,0.0,-1.0483409199892484,-1.022623617669116,46.051489995432405,23.820611434503643,0.1174310487072752,2.0293253763519963
main,scarlet-black-shadow,3840,99.27083333333331,0.7291666666666666,0.0,-0.8873801291058722,-0.9000408144016425,46.10653163403928,24.65476604558031,0.4974762633617138,2.045316825095969
secondary,epinel,9984,58.15304487179487,6.1298076923076925,35.71714743589744,0.2650212947562403,-0.2338927171986249,53.71482204374763,12.085576047684068,1.453178708722651,1.2176306313864529
secondary,helm,9984,77.12339743589743,4.076522435897436,18.800080128205128,-1.0092397591345286,-1.3120835847259649,44.6617703104465,25.69494963602668,1.4683682544527292,3.1094448820829106
secondary,snow-white-heavy-arms,9984,72.35576923076923,1.2019230769230769,26.442307692307693,-0.4862483764233531,-0.8513507973584244,39.63164547030013,35.5766554168102,1.451312994098067,1.8424168901882552
b1,anis-star,6144,70.41015625,2.83203125,26.7578125,-0.4027722316442412,-0.5675610993107316,42.84086493798007,22.913597615191357,1.411505004695883,1.820405440032274
b1,liter,6144,61.81640625,6.298828125,31.884765625,-0.2582851901425985,-0.3355599765553385,52.06367221105673,27.667196264023165,1.5365560137176926,2.2021566646974247
b1,little-mermaid,6144,76.52994791666667,3.6458333333333335,19.82421875,-0.7398694667611785,-0.9449102873444526,43.42433238305011,23.07499451352527,1.4631566467280954,2.4989563856850334
b1,moran-favorite-item,6144,67.83854166666667,2.9296875,29.23177083333333,-0.309653041121982,-0.4861821571814917,45.0963342910043,23.995938383581137,1.480707488324077,1.8279394876127577
b1,rapi-red-hood,5376,69.49404761904762,3.236607142857143,27.26934523809524,-0.3302042132944765,-0.5404133956092461,46.67220873338509,24.632791442314986,1.3873968881184038,1.9153910604755904
